"Name","Description","whenCreated","whenChanged"
"iCore-Cloud","","8/23/2014 2:36:26 AM","5/13/2021 2:39:11 PM"
"PA-KingOfPrussia","","6/22/2001 1:20:00 AM","5/13/2021 2:39:07 PM"
"ILL-Chicago","","2/17/2012 2:04:26 AM","5/13/2021 2:39:10 PM"
"VA-Vienna","","5/8/2012 8:44:10 PM","5/13/2021 2:39:10 PM"
"GA-Atlanta","","6/6/2012 7:05:59 PM","5/13/2021 2:39:10 PM"
"TX-HOU","","2/1/2013 5:09:21 PM","5/13/2021 2:39:10 PM"
"CA-SanFrancisco","","8/26/2013 1:46:01 PM","5/13/2021 2:39:11 PM"
"DR-Site","","3/12/2015 12:03:52 PM","5/13/2021 2:39:11 PM"
