"Name","Depth","DistinguishedName","Link Order","GPO","Enforced","Link Enabled","BlockInheritance","gPLink","gPOptions"
"Project Consultants","5","OU=Project Consultants,OU=Consulting,OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","SEGConultantWebsite ","True","True","False","[LDAP://cn={1360A23E-E9AE-41A8-A310-A6CAE04F4016},cn=policies,cn=system,DC=solomonedwards,DC=com;2]",""
"National Cooperative Bank","3","OU=National Cooperative Bank,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Fidelis","3","OU=Fidelis,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"SF - Msquared","3","OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","OfficeColorTheme","True","True","False","[LDAP://cn={00C0E09B-1859-4410-AB30-56949270119F},cn=policies,cn=system,DC=solomonedwards,DC=com;2]",""
"SF - Consultants","4","OU=SF - Consultants,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","SFConultantWebsite ","False","True","False","[LDAP://cn={A0FA551E-6392-4614-B7AF-DFB86E65AB25},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"Ex-Employees","2","OU=Ex-Employees,OU=Organizational Units,DC=solomonedwards,DC=com","2","{7F1C33CC-7D69-4D78-8356-310F6E580951}","False","True","False","[LDAP://CN={7F1C33CC-7D69-4D78-8356-310F6E580951},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={D41CCCF1-AA09-4535-B573-EFD5DAFE5BA9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"Ex-Employees","2","OU=Ex-Employees,OU=Organizational Units,DC=solomonedwards,DC=com","1","Limited IE Usage","False","True","False","[LDAP://CN={7F1C33CC-7D69-4D78-8356-310F6E580951},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={D41CCCF1-AA09-4535-B573-EFD5DAFE5BA9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"Workstations","2","OU=Workstations,OU=_Migration from Msquared to SolomonEdwards,DC=solomonedwards,DC=com",,,,,"False","",""
"Servers","2","OU=Servers,OU=_Migration from Msquared to SolomonEdwards,DC=solomonedwards,DC=com",,,,,"False","",""
"Legacy M2 Groups","5","OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"PHL","2","OU=PHL,OU=SEG Computers,DC=solomonedwards,DC=com",,,,,"False","",""
"Fleet Logistics","3","OU=Fleet Logistics,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"US Pack","3","OU=US Pack,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"HR","3","OU=HR,OU=PHL,OU=SEG Computers,DC=solomonedwards,DC=com","1","ComputerLockDown","False","True","False","[LDAP://cn={7D8C37F2-03C8-49FA-82EC-ADF61A010DB9},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"LiveAction Inc","3","OU=LiveAction Inc,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Solomon Edwards VDIs","1","OU=Solomon Edwards VDIs,DC=solomonedwards,DC=com",,,,,"False","",""
"M3","4","OU=M3,OU=MSquared Contacts,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"M3","3","OU=M3,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"OTC Mirion","3","OU=OTC Mirion,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Testy1","2","OU=Testy1,OU=TestUsers,DC=solomonedwards,DC=com","3","Disable Windows Updates","False","True","False","[LDAP://cn={EAEFF5A0-604F-4215-83F0-86722C9C6C3A},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={B334D1FF-83E6-4E60-877E-4796F562A8E6},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7D8C37F2-03C8-49FA-82EC-ADF61A010DB9},cn=policies,cn=system,DC=solomonedwards,DC=com;1]",""
"Testy1","2","OU=Testy1,OU=TestUsers,DC=solomonedwards,DC=com","2","Mapping Accounting Share","False","True","False","[LDAP://cn={EAEFF5A0-604F-4215-83F0-86722C9C6C3A},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={B334D1FF-83E6-4E60-877E-4796F562A8E6},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7D8C37F2-03C8-49FA-82EC-ADF61A010DB9},cn=policies,cn=system,DC=solomonedwards,DC=com;1]",""
"Testy1","2","OU=Testy1,OU=TestUsers,DC=solomonedwards,DC=com","1","ComputerLockDown","False","False","False","[LDAP://cn={EAEFF5A0-604F-4215-83F0-86722C9C6C3A},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={B334D1FF-83E6-4E60-877E-4796F562A8E6},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7D8C37F2-03C8-49FA-82EC-ADF61A010DB9},cn=policies,cn=system,DC=solomonedwards,DC=com;1]",""
"Tenrox Testing","6","OU=Tenrox Testing,OU=I.T. Services,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Msquared Consulting","3","OU=Msquared Consulting,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Cardtronics","3","OU=Cardtronics,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Project Consultants","5","OU=Project Consultants,OU=Consulting,OU=DC - Vienna,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","SEGConultantWebsite ","True","True","False","[LDAP://cn={1360A23E-E9AE-41A8-A310-A6CAE04F4016},cn=policies,cn=system,DC=solomonedwards,DC=com;2]",""
"test1","4","OU=test1,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","SFConultantWebsite ","True","True","False","[LDAP://cn={A0FA551E-6392-4614-B7AF-DFB86E65AB25},cn=policies,cn=system,DC=solomonedwards,DC=com;2]",""
"Scanner","1","OU=Scanner,DC=solomonedwards,DC=com",,,,,"True"," ","1"
"Stanford","3","OU=Stanford,OU=Sharepoint Groups,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"VWR","3","OU=VWR,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Stanford","3","OU=Stanford,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Okta Demo","2","OU=Okta Demo,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Childcare Development Services","3","OU=Childcare Development Services,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Admin Staff","4","OU=Admin Staff,OU=DC - Vienna,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"CDS Auditor Files","4","OU=CDS Auditor Files,OU=Childcare Development Services,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"PenFed","3","OU=PenFed,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Access Groups","2","OU=Access Groups,OU=Rapidscale,DC=solomonedwards,DC=com",,,,,"False","",""
"Sharepoint","2","OU=Sharepoint,OU=SEG Servers,DC=solomonedwards,DC=com",,,,,"True"," ","1"
"Intel","3","OU=Intel,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"FTE Consultants","5","OU=FTE Consultants,OU=Consulting,OU=DC - Vienna,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False"," ",""
"motiva","3","OU=motiva,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"NE Bank of GA LoShare (Don't Delete Alonso uses qrtly)","3","OU=NE Bank of GA LoShare (Don't Delete Alonso uses qrtly),OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Core","3","OU=Core,OU=Allowed Vendors,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Office365_Pilot","2","OU=Office365_Pilot,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Admin Staff","4","OU=Admin Staff,OU=GA - Atlanta,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Perm Recruiters","4","OU=Perm Recruiters,OU=GA - Atlanta,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Admin Staff","4","OU=Admin Staff,OU=ILL - Chicago,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Perm Recruiters","4","OU=Perm Recruiters,OU=ILL - Chicago,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"XenDesktop","3","OU=XenDesktop,OU=Servers,OU=Rapidscale,DC=solomonedwards,DC=com","11","N-AbleMonitoring_Install","False","True","False","[LDAP://cn={effe7c20-167d-4b35-a0aa-35e824cbb6f4},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={B65D0BAD-F897-4564-A0CB-A2E256230CF8},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F88CAB22-65B1-4C31-9D7D-923D23D41012},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CCAA071E-2A5C-4EBA-87DB-12B64060EF97},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7C9DC804-CA54-443B-A0F0-B990525C3015},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7A0A5B01-60DD-4310-8651-997BA90525D3},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F938D816-0410-422D-9E79-106F58C7A8A5},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={AFAFF2AE-C34F-46F5-A09E-D519E3E95C7F},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={704A9657-FEDF-4F09-B34F-EBD6D17F478E},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={634DC8AA-3B4E-40C3-BBCD-A291BC9A0A67},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CC3D7B55-C1DF-46F8-8FD4-5F0AA1A35194},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"XenDesktop","3","OU=XenDesktop,OU=Servers,OU=Rapidscale,DC=solomonedwards,DC=com","10","Citrix Desktop Folder MyDocs","False","True","False","[LDAP://cn={effe7c20-167d-4b35-a0aa-35e824cbb6f4},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={B65D0BAD-F897-4564-A0CB-A2E256230CF8},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F88CAB22-65B1-4C31-9D7D-923D23D41012},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CCAA071E-2A5C-4EBA-87DB-12B64060EF97},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7C9DC804-CA54-443B-A0F0-B990525C3015},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7A0A5B01-60DD-4310-8651-997BA90525D3},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F938D816-0410-422D-9E79-106F58C7A8A5},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={AFAFF2AE-C34F-46F5-A09E-D519E3E95C7F},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={704A9657-FEDF-4F09-B34F-EBD6D17F478E},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={634DC8AA-3B4E-40C3-BBCD-A291BC9A0A67},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CC3D7B55-C1DF-46F8-8FD4-5F0AA1A35194},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"XenDesktop","3","OU=XenDesktop,OU=Servers,OU=Rapidscale,DC=solomonedwards,DC=com","9","Citrix UPM","False","True","False","[LDAP://cn={effe7c20-167d-4b35-a0aa-35e824cbb6f4},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={B65D0BAD-F897-4564-A0CB-A2E256230CF8},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F88CAB22-65B1-4C31-9D7D-923D23D41012},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CCAA071E-2A5C-4EBA-87DB-12B64060EF97},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7C9DC804-CA54-443B-A0F0-B990525C3015},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7A0A5B01-60DD-4310-8651-997BA90525D3},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F938D816-0410-422D-9E79-106F58C7A8A5},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={AFAFF2AE-C34F-46F5-A09E-D519E3E95C7F},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={704A9657-FEDF-4F09-B34F-EBD6D17F478E},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={634DC8AA-3B4E-40C3-BBCD-A291BC9A0A67},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CC3D7B55-C1DF-46F8-8FD4-5F0AA1A35194},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"XenDesktop","3","OU=XenDesktop,OU=Servers,OU=Rapidscale,DC=solomonedwards,DC=com","8","Citrix TSRedirect","False","True","False","[LDAP://cn={effe7c20-167d-4b35-a0aa-35e824cbb6f4},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={B65D0BAD-F897-4564-A0CB-A2E256230CF8},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F88CAB22-65B1-4C31-9D7D-923D23D41012},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CCAA071E-2A5C-4EBA-87DB-12B64060EF97},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7C9DC804-CA54-443B-A0F0-B990525C3015},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={7A0A5B01-60DD-4310-8651-997BA90525D3},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={F938D816-0410-422D-9E79-106F58C7A8A5},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={AFAFF2AE-C34F-46F5-A09E-D519E3E95C7F},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={704A9657-FEDF-4F09-B34F-EBD6D17F478E},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={634DC8AA-3B4E-40C3-BBCD-A291BC9A0A67},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={CC3D7B55-C1DF-46F8-8FD4-5F0AA1A35194},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
