"ZoneName","Name","RecordType","Data","TTL","Age","TimeStamp","UpdatedAtSerial","whenCreated","whenChanged","showInAdvancedViewOnly","DistinguishedName"
"solomonedwards.com","HOUC-L-44402B3P","A","192.168.12.160","1200","3654184","11/13/2017 4:00:00 PM","1908810","6/13/2023 3:09:11 PM","6/13/2023 3:10:11 PM","True","DC=HOUC-L-44402B3P,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","LVTB14G4-2606","A","192.168.1.20","1200","3700959","3/16/2023 3:00:00 PM","2020869","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=LVTB14G4-2606,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","_ldap._tcp.Atlanta._sites.dc._msdcs","SRV","[0][100][389][phldc01.solomonedwards.com.]","600","3606523","6/6/2012 7:00:00 PM","60134","6/13/2023 3:09:11 PM","6/13/2023 3:10:11 PM","True","DC=_ldap._tcp.Atlanta._sites.dc._msdcs,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","HOUC-L-4440OVLC","A","192.168.12.168","1200","3666109","3/25/2019 1:00:00 PM","1954641","6/13/2023 3:09:11 PM","6/13/2023 3:10:11 PM","True","DC=HOUC-L-4440OVLC,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","_ldap._tcp.Atlanta._sites.gc._msdcs","SRV","[0][100][3268][phldc02.solomonedwards.com.]","600","3606523","6/6/2012 7:00:00 PM","60132","6/13/2023 3:09:11 PM","6/13/2023 3:10:11 PM","True","DC=_ldap._tcp.Atlanta._sites.gc._msdcs,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","HOUC-L-510BAE7","A","192.168.12.123","1200","3624620","6/30/2014 8:00:00 PM","133991","6/13/2023 3:09:11 PM","6/13/2023 3:10:11 PM","True","DC=HOUC-L-510BAE7,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","LVTBG4-002430","A","192.168.86.33","1200","3700108","2/9/2023 4:00:00 AM","2019474","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=LVTBG4-002430,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","HOUC-L-510BGTR","A","192.168.10.142","1200","3628862","12/24/2014 2:00:00 PM","151566","6/13/2023 3:09:11 PM","6/13/2023 3:10:11 PM","True","DC=HOUC-L-510BGTR,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","LVTBG4-002431","A","192.168.86.37","1200","3700108","2/9/2023 4:00:00 AM","2019476","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=LVTBG4-002431,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","houc-l-57447672","A","192.168.12.196","1200","3625789","8/18/2014 1:00:00 PM","138926","6/13/2023 3:09:11 PM","6/13/2023 3:10:11 PM","True","DC=houc-l-57447672,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
