"ObjectClass","Name","whenCreated","whenChanged","DistinguishedName"
"top","ms-DS-Generation-Id","8/23/2014 2:47:01 AM","5/13/2021 2:39:05 PM","CN=ms-DS-Generation-Id,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Object-Reference-BL","1/28/2007 6:54:00 AM","5/13/2021 2:39:02 PM","CN=ms-DS-Object-Reference-BL,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-GeoCoordinates-Altitude","8/23/2014 2:47:08 AM","5/13/2021 2:39:05 PM","CN=ms-DS-GeoCoordinates-Altitude,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Object-SOA","8/27/2019 2:59:06 PM","5/13/2021 2:39:05 PM","CN=ms-DS-Object-SOA,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-GeoCoordinates-Latitude","8/23/2014 2:47:08 AM","5/13/2021 2:39:05 PM","CN=ms-DS-GeoCoordinates-Latitude,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-OIDToGroup-Link","6/22/2011 3:53:17 PM","5/13/2021 2:39:03 PM","CN=ms-DS-OIDToGroup-Link,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-GeoCoordinates-Longitude","8/23/2014 2:47:08 AM","5/13/2021 2:39:05 PM","CN=ms-DS-GeoCoordinates-Longitude,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-OIDToGroup-Link-BL","6/22/2011 3:53:18 PM","5/13/2021 2:39:03 PM","CN=ms-DS-OIDToGroup-Link-BL,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Group-Managed-Service-Account","8/23/2014 2:47:10 AM","5/13/2021 2:39:05 PM","CN=ms-DS-Group-Managed-Service-Account,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Operations-For-Az-Role","1/28/2007 6:53:06 AM","5/13/2021 2:39:02 PM","CN=ms-DS-Operations-For-Az-Role,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-GroupMSAMembership","8/23/2014 2:47:08 AM","5/13/2021 2:39:05 PM","CN=ms-DS-GroupMSAMembership,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Operations-For-Az-Role-BL","1/28/2007 6:53:12 AM","5/13/2021 2:39:02 PM","CN=ms-DS-Operations-For-Az-Role-BL,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-HAB-Seniority-Index","6/22/2011 3:47:37 PM","5/13/2021 2:39:05 PM","CN=ms-DS-HAB-Seniority-Index,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Operations-For-Az-Task","1/28/2007 6:53:07 AM","5/13/2021 2:39:02 PM","CN=ms-DS-Operations-For-Az-Task,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Has-Domain-NCs","1/28/2007 6:53:23 AM","5/13/2021 2:39:03 PM","CN=ms-DS-Has-Domain-NCs,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Operations-For-Az-Task-BL","1/28/2007 6:53:12 AM","5/13/2021 2:39:02 PM","CN=ms-DS-Operations-For-Az-Task-BL,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Has-Full-Replica-NCs","6/22/2011 3:45:33 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Has-Full-Replica-NCs,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Optional-Feature","6/22/2011 3:53:36 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Optional-Feature,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Has-Instantiated-NCs","1/28/2007 6:51:31 AM","5/13/2021 2:39:03 PM","CN=ms-DS-Has-Instantiated-NCs,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Optional-Feature-Flags","6/22/2011 3:53:27 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Optional-Feature-Flags,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Has-Master-NCs","1/28/2007 6:53:45 AM","5/13/2021 2:39:03 PM","CN=ms-DS-Has-Master-NCs,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Optional-Feature-GUID","6/22/2011 3:53:15 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Optional-Feature-GUID,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Host-Service-Account","6/22/2011 3:53:20 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Host-Service-Account,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Other-Settings","1/28/2007 6:50:02 AM","5/13/2021 2:39:03 PM","CN=ms-DS-Other-Settings,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Host-Service-Account-BL","6/22/2011 3:53:20 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Host-Service-Account-BL,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Parent-Dist-Name","11/15/2017 4:32:10 PM","5/13/2021 2:39:05 PM","CN=ms-DS-Parent-Dist-Name,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Ingress-Claims-Transformation-Policy","8/23/2014 2:47:08 AM","5/13/2021 2:39:05 PM","CN=ms-DS-Ingress-Claims-Transformation-Policy,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Password-Complexity-Enabled","6/22/2011 3:47:55 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Password-Complexity-Enabled,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Integer","1/28/2007 6:53:38 AM","5/13/2021 2:39:02 PM","CN=ms-DS-Integer,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Password-History-Length","6/22/2011 3:47:54 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Password-History-Length,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-IntId","1/28/2007 6:51:41 AM","5/13/2021 2:39:03 PM","CN=ms-DS-IntId,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Password-Reversible-Encryption-Enabled","6/22/2011 3:47:45 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Password-Reversible-Encryption-Enabled,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Is-Compliant","8/27/2019 2:58:55 PM","5/13/2021 2:39:05 PM","CN=ms-DS-Is-Compliant,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Password-Settings","6/22/2011 3:48:13 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Password-Settings,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Is-Domain-For","6/22/2011 3:45:37 PM","5/13/2021 2:39:02 PM","CN=ms-DS-Is-Domain-For,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Password-Settings-Container","6/22/2011 3:48:12 PM","5/13/2021 2:39:02 PM","CN=ms-DS-Password-Settings-Container,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Is-Enabled","11/15/2017 4:32:03 PM","5/13/2021 2:39:05 PM","CN=ms-DS-Is-Enabled,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
